description,amount,category
disintermediate 24/365 portals,14.58,Healthcare
Martin-Rogers,90.58,Dining Out
implement global architectures,56.06,Utilities
"Brewer, Allen and Roach",96.21,Utilities
visualize B2B web services,73.44,Utilities
Rojas-Patton,14.29,Healthcare
deliver vertical content,56.89,Dining Out
"Gutierrez, Bennett and Olson",97.57,Transport
optimize granular networks,36.79,Transport
Smith Inc,88.50,Entertainment
leverage turn-key e-markets,96.37,Entertainment
Harris-Mckinney,41.14,Transport
deliver strategic platforms,93.66,Groceries
Zamora and Sons,86.95,Healthcare
syndicate web-enabled e-markets,26.77,Healthcare
Hayes-Hall,62.36,Utilities
integrate visionary platforms,87.36,Utilities
Kelly-Bishop,84.71,Transport
architect ubiquitous technologies,95.61,Entertainment
"Love, Jones and Wallace",54.87,Healthcare
scale holistic markets,46.38,Groceries
Howard Group,15.49,Dining Out
whiteboard visionary e-business,95.14,Utilities
Bernard-Hale,65.13,Entertainment
orchestrate back-end bandwidth,43.63,Utilities
Wilson-Underwood,19.42,Groceries
exploit out-of-the-box ROI,36.03,Healthcare
Thomas Ltd,46.46,Entertainment
syndicate compelling channels,45.57,Transport
Diaz-Patterson,95.39,Dining Out
iterate bricks-and-clicks synergies,38.72,Groceries
"Hess, Potter and Shaw",32.58,Healthcare
embrace ubiquitous communities,37.57,Entertainment
Luna-Williams,66.20,Healthcare
transform sticky web services,97.37,Transport
"Glenn, Savage and Ochoa",93.91,Dining Out
implement customized technologies,96.87,Dining Out
"Lindsey, Fletcher and Russell",18.69,Healthcare
harness global methodologies,50.02,Transport
"Allen, Smith and Ewing",38.43,Dining Out
unleash 24/7 deliverables,33.99,Dining Out
"Nichols, Atkinson and Carter",81.74,Transport
benchmark out-of-the-box supply-chains,37.18,Dining Out
Johnson-Stewart,58.16,Groceries
facilitate 24/7 technologies,99.87,Groceries
Dalton-Smith,27.05,Groceries
monetize real-time deliverables,71.68,Groceries
Velasquez Ltd,42.82,Dining Out
transform best-of-breed info-mediaries,87.92,Utilities
Walker-Mckinney,58.03,Entertainment
incubate interactive models,67.87,Utilities
"Schneider, Ross and Hampton",30.87,Transport
redefine sticky eyeballs,37.68,Healthcare
Miller LLC,71.05,Utilities
unleash seamless functionalities,50.72,Utilities
"Andrews, Ayers and Thomas",79.50,Dining Out
revolutionize dot-com infrastructures,87.56,Healthcare
"Todd, Meyer and Jones",44.57,Transport
harness scalable paradigms,79.23,Utilities
"Ellis, Meyer and Hooper",30.86,Healthcare
cultivate end-to-end communities,40.18,Groceries
Chase-Wang,98.93,Entertainment
engineer ubiquitous users,31.85,Utilities
Jones Inc,54.45,Healthcare
drive revolutionary partnerships,80.10,Healthcare
Knight-Jimenez,48.29,Groceries
disintermediate distributed ROI,48.47,Utilities
Tran Ltd,77.01,Healthcare
unleash synergistic convergence,27.13,Utilities
Marshall and Sons,10.73,Entertainment
scale clicks-and-mortar models,76.13,Utilities
Washington-Ramirez,85.90,Utilities
incubate collaborative niches,57.85,Dining Out
Sanchez-Lopez,62.37,Healthcare
scale plug-and-play synergies,88.96,Entertainment
Douglas-Mullen,25.08,Dining Out
re-contextualize holistic networks,54.71,Healthcare
"Lara, Young and Jones",69.12,Entertainment
transform ubiquitous paradigms,64.93,Healthcare
"Brown, Gibson and Perry",22.96,Dining Out
mesh global niches,69.90,Transport
Baldwin LLC,53.51,Entertainment
mesh scalable convergence,40.22,Utilities
Combs Group,12.44,Utilities
deploy B2C synergies,90.63,Transport
Arnold PLC,99.39,Healthcare
empower leading-edge mindshare,62.30,Transport
"Johnson, Henderson and Andrade",97.10,Dining Out
e-enable 24/365 partnerships,31.65,Dining Out
Ross-Krause,92.43,Entertainment
re-contextualize cross-platform deliverables,23.58,Dining Out
"Douglas, Lewis and Torres",28.71,Transport
grow impactful ROI,31.96,Healthcare
"Rodriguez, Andrade and Wright",77.49,Entertainment
maximize innovative platforms,29.50,Transport
White PLC,31.16,Entertainment
innovate enterprise infrastructures,36.81,Entertainment
Allen Group,40.05,Groceries
deliver plug-and-play convergence,27.62,Healthcare
Robinson and Sons,32.24,Entertainment
brand synergistic users,62.09,Dining Out
George-Park,10.96,Healthcare
repurpose 24/365 networks,67.53,Entertainment
Stephens-Little,32.94,Utilities
innovate back-end info-mediaries,72.69,Healthcare
Calderon-Johnson,26.26,Dining Out
leverage bricks-and-clicks portals,71.51,Entertainment
Hutchinson Ltd,13.34,Transport
cultivate synergistic bandwidth,43.10,Groceries
"Cruz, Ramos and Hunt",76.47,Transport
morph clicks-and-mortar vortals,50.10,Entertainment
"Baker, Hernandez and Manning",23.76,Utilities
cultivate bricks-and-clicks niches,35.22,Dining Out
Chaney Group,95.94,Dining Out
incentivize bricks-and-clicks channels,64.61,Entertainment
Lee PLC,37.32,Transport
scale collaborative deliverables,85.75,Healthcare
Mcdonald PLC,28.96,Transport
iterate wireless vortals,98.00,Entertainment
Martin Group,91.84,Utilities
optimize synergistic users,31.30,Entertainment
Ford-Thompson,23.17,Groceries
harness bleeding-edge e-services,76.53,Transport
Walker-Moss,18.11,Dining Out
streamline 24/365 systems,31.14,Dining Out
Ortiz and Sons,78.77,Entertainment
incubate open-source markets,79.47,Transport
"Bates, Chen and Miller",95.40,Groceries
deploy 24/7 mindshare,28.85,Groceries
"Perry, Martinez and Marks",11.78,Groceries
scale best-of-breed bandwidth,73.31,Groceries
"Reynolds, Hanson and Lee",86.63,Healthcare
utilize 24/7 e-tailers,88.86,Dining Out
Jones-Curtis,76.25,Healthcare
innovate dot-com functionalities,85.77,Entertainment
Taylor and Sons,82.87,Transport
monetize dot-com users,96.46,Utilities
Burgess and Sons,70.73,Dining Out
cultivate B2B architectures,56.24,Utilities
Yu LLC,90.02,Dining Out
synthesize rich systems,25.18,Utilities
Odonnell Ltd,10.25,Dining Out
morph compelling content,60.34,Entertainment
"Conrad, Kelley and Frank",13.88,Utilities
monetize bleeding-edge deliverables,71.32,Groceries
Taylor-Logan,96.49,Healthcare
incubate clicks-and-mortar metrics,32.91,Transport
"Gordon, Campos and Gallagher",92.75,Dining Out
facilitate viral systems,97.09,Dining Out
"Ellis, Hardy and Martin",35.61,Groceries
cultivate ubiquitous e-markets,51.41,Transport
"Herrera, Perry and Carr",21.98,Utilities
drive extensible web-readiness,40.15,Transport
Schroeder-Greene,61.36,Transport
enhance cutting-edge applications,24.03,Transport
Coleman-Cuevas,59.98,Groceries
aggregate rich synergies,50.26,Transport
"Baxter, Ayala and Castro",27.93,Dining Out
e-enable open-source paradigms,49.79,Healthcare
Torres LLC,60.48,Utilities
repurpose visionary infrastructures,95.88,Utilities
Melton-Taylor,55.62,Transport
visualize one-to-one content,71.60,Dining Out
Woods Group,71.47,Transport
reinvent B2B e-business,96.21,Dining Out
Ball PLC,13.00,Dining Out
revolutionize best-of-breed web-readiness,72.83,Transport
Hunt and Sons,80.83,Healthcare
engineer clicks-and-mortar synergies,37.30,Utilities
Davis-Fritz,66.11,Entertainment
integrate distributed platforms,36.68,Transport
"Harris, Reese and Lucas",30.33,Healthcare
leverage viral systems,88.88,Dining Out
"Mason, Stone and Fisher",66.23,Entertainment
re-intermediate bleeding-edge relationships,18.42,Entertainment
"Lamb, Evans and Lambert",80.10,Dining Out
deliver collaborative schemas,44.17,Utilities
Hawkins Ltd,90.79,Entertainment
harness dot-com vortals,64.30,Dining Out
"Thomas, Moore and Tanner",67.73,Utilities
grow mission-critical e-commerce,96.10,Transport
Gonzalez-Martinez,33.29,Entertainment
scale B2C e-commerce,77.66,Healthcare
Kelly-Hall,72.59,Dining Out
re-contextualize front-end web services,73.02,Dining Out
Lawson Inc,63.81,Groceries
target web-enabled niches,82.61,Healthcare
Johnson LLC,99.45,Utilities
engineer viral web-readiness,73.62,Groceries
Gonzalez Ltd,13.32,Dining Out
disintermediate magnetic technologies,51.79,Utilities
Cline-Greene,47.26,Groceries
matrix B2C applications,54.89,Dining Out
Thompson-Armstrong,15.39,Entertainment
transition ubiquitous platforms,36.53,Dining Out
Li-Deleon,38.88,Utilities
deliver compelling paradigms,13.87,Dining Out
"Braun, Brown and Edwards",30.06,Entertainment
transform B2C paradigms,25.15,Entertainment
Edwards Ltd,60.28,Dining Out
matrix one-to-one synergies,54.67,Utilities
"Bullock, Holloway and Green",78.95,Dining Out
integrate cutting-edge initiatives,90.57,Dining Out
"Caldwell, Pierce and Whitaker",48.65,Utilities
implement enterprise e-services,48.37,Entertainment
"Mitchell, Walter and Martinez",29.59,Entertainment
disintermediate e-business networks,73.07,Utilities
Sullivan-Bailey,56.31,Healthcare
matrix frictionless partnerships,98.56,Healthcare
"Duran, Morris and Hodges",48.51,Entertainment
generate transparent ROI,50.40,Groceries
Gonzalez Group,42.08,Utilities
transition magnetic paradigms,12.51,Entertainment
"Hoffman, Keller and Jones",56.04,Utilities
engage revolutionary supply-chains,85.56,Dining Out
Flores PLC,47.17,Transport
reinvent customized convergence,67.07,Dining Out
Byrd-Stein,18.14,Transport
implement ubiquitous infrastructures,18.22,Groceries
Harvey Inc,84.18,Utilities
implement collaborative channels,68.81,Groceries
"Jones, Rodriguez and Mathews",16.76,Dining Out
aggregate extensible vortals,83.14,Healthcare
Delgado-Lawson,69.26,Healthcare
incubate value-added web services,17.26,Utilities
"Burton, Davis and Lopez",79.50,Entertainment
productize wireless ROI,44.45,Transport
Martin-Gomez,61.69,Healthcare
whiteboard sticky synergies,98.49,Utilities
"Cook, Jones and Robertson",91.46,Entertainment
strategize real-time vortals,99.02,Groceries
Smith-Morgan,37.96,Healthcare
visualize frictionless eyeballs,40.26,Healthcare
"May, Velasquez and Lowe",16.70,Healthcare
aggregate web-enabled interfaces,15.44,Groceries
"Costa, Solis and Rodriguez",65.83,Dining Out
revolutionize rich convergence,72.92,Transport
"Roberts, Juarez and Smith",17.30,Healthcare
grow transparent ROI,43.75,Entertainment
Trevino Inc,45.93,Dining Out
transition B2C synergies,81.79,Entertainment
Valdez and Sons,56.69,Healthcare
engineer dot-com convergence,85.67,Utilities
Ewing and Sons,61.19,Utilities
mesh dot-com technologies,78.76,Healthcare
"Johnson, Ellison and Richardson",56.75,Entertainment
seize one-to-one metrics,83.82,Dining Out
"Aguilar, Shields and Warner",91.48,Entertainment
expedite synergistic infrastructures,77.50,Utilities
Meyer Inc,59.94,Dining Out
reinvent 24/7 metrics,92.25,Dining Out
Lindsey LLC,93.00,Transport
architect visionary channels,57.87,Healthcare
Pugh Ltd,83.23,Dining Out
monetize value-added supply-chains,44.54,Transport
Barajas Ltd,62.20,Groceries
empower bricks-and-clicks e-commerce,67.94,Entertainment
"Smith, Thomas and Jones",78.66,Entertainment
revolutionize best-of-breed content,46.47,Groceries
"Davis, Shannon and Olsen",75.76,Entertainment
integrate robust initiatives,57.31,Groceries
Mcclure-Mccarty,43.98,Healthcare
enable integrated technologies,15.29,Utilities
"Richardson, Moreno and Gomez",19.81,Groceries
iterate open-source eyeballs,18.97,Entertainment
"Gomez, Best and Frederick",50.23,Transport
revolutionize scalable e-services,40.36,Transport
Evans Ltd,90.53,Healthcare
whiteboard impactful metrics,48.93,Dining Out
Joseph-Mcpherson,53.25,Groceries
envisioneer out-of-the-box applications,89.97,Dining Out
"Thompson, Williams and Williams",17.90,Transport
mesh virtual content,46.41,Entertainment
Harrison-Vargas,73.01,Dining Out
orchestrate frictionless content,58.35,Groceries
"Escobar, Reynolds and Davis",67.42,Healthcare
optimize cross-media e-markets,94.25,Groceries
Lewis LLC,42.70,Utilities
generate wireless platforms,82.99,Transport
Baker-Carr,46.31,Dining Out
re-contextualize real-time e-business,88.85,Transport
Clark-Summers,83.05,Utilities
re-contextualize efficient interfaces,44.37,Transport
Garcia Ltd,35.94,Utilities
grow B2C web services,68.94,Transport
Young-Rogers,95.21,Dining Out
e-enable global markets,44.89,Groceries
Tanner Inc,28.17,Dining Out
extend dot-com web services,50.05,Groceries
"Stafford, Gillespie and Taylor",33.71,Utilities
synthesize holistic paradigms,16.47,Groceries
Pace PLC,62.96,Utilities
unleash user-centric eyeballs,64.01,Healthcare
Avery-Johnson,63.19,Dining Out
cultivate proactive methodologies,93.18,Entertainment
Craig-Bullock,66.20,Dining Out
strategize world-class convergence,82.26,Transport
"Thomas, Harris and Oconnor",64.80,Dining Out
matrix B2B e-markets,42.33,Groceries
Doyle Group,14.87,Groceries
embrace B2C technologies,50.23,Transport
"Gonzalez, Jordan and Mitchell",32.37,Dining Out
scale 24/7 e-tailers,82.56,Healthcare
"Rodriguez, Moore and Ryan",68.62,Healthcare
matrix extensible e-tailers,55.30,Entertainment
Mcgee Inc,58.20,Entertainment
strategize turn-key infrastructures,50.44,Groceries
Whitehead-Dominguez,97.55,Transport
engage strategic e-markets,21.32,Healthcare
Wells-Thompson,21.24,Groceries
utilize turn-key models,64.73,Transport
Johnson Ltd,68.82,Entertainment
orchestrate clicks-and-mortar users,54.15,Transport
"Carey, Sharp and Tucker",95.06,Entertainment
transform vertical users,24.15,Transport
Sanchez-Golden,21.76,Transport
productize clicks-and-mortar channels,44.69,Utilities
Lewis LLC,27.58,Transport
synthesize front-end partnerships,38.78,Dining Out
"Lewis, Phillips and Henry",94.85,Utilities
evolve granular relationships,55.89,Entertainment
Harrington-Mclaughlin,68.04,Entertainment
engage plug-and-play users,68.98,Transport
Massey-Willis,70.92,Transport
facilitate robust e-business,79.13,Healthcare
"Gardner, Wong and Smith",30.20,Healthcare
incentivize B2B solutions,49.55,Dining Out
"Mcdonald, Norris and Bridges",99.42,Groceries
mesh back-end initiatives,63.07,Entertainment
Sanders-Coleman,48.48,Entertainment
re-intermediate leading-edge technologies,65.93,Groceries
Harris LLC,51.38,Healthcare
unleash customized bandwidth,23.20,Transport
Kennedy-Sims,18.75,Entertainment
orchestrate compelling convergence,75.22,Healthcare
Frazier-Dalton,70.99,Dining Out
architect magnetic bandwidth,18.90,Groceries
Walker Ltd,25.94,Groceries
implement back-end systems,72.39,Dining Out
Miller PLC,50.80,Dining Out
cultivate 24/7 web services,21.89,Groceries
Mueller-Luna,37.92,Entertainment
facilitate distributed systems,44.09,Dining Out
"Jones, Freeman and Stewart",53.71,Dining Out
benchmark user-centric supply-chains,15.28,Utilities
Freeman LLC,81.56,Utilities
optimize cutting-edge partnerships,17.01,Groceries
King-Butler,47.56,Entertainment
reinvent one-to-one mindshare,15.52,Entertainment
"Owens, Campbell and Alexander",15.08,Dining Out
evolve proactive action-items,19.29,Transport
Taylor-Rodriguez,63.00,Entertainment
benchmark clicks-and-mortar applications,40.16,Dining Out
Mcdonald PLC,28.63,Groceries
streamline front-end networks,87.51,Healthcare
Perry-Pineda,15.69,Dining Out
syndicate bleeding-edge communities,66.06,Healthcare
Padilla-Serrano,33.75,Transport
architect e-business schemas,48.98,Utilities
Holmes Ltd,55.29,Transport
generate enterprise technologies,18.61,Utilities
"Tyler, Campbell and Martinez",42.80,Entertainment
enhance value-added web-readiness,26.58,Utilities
"Russell, Woods and Taylor",70.08,Transport
visualize e-business interfaces,74.70,Entertainment
Perez-Andrews,38.58,Dining Out
redefine robust platforms,19.78,Groceries
"Allen, Nelson and Martin",34.04,Utilities
productize rich e-services,63.81,Groceries
Anthony-Bush,30.92,Utilities
leverage user-centric e-markets,87.14,Entertainment
Smith PLC,28.28,Groceries
strategize cutting-edge vortals,57.45,Transport
Hernandez Inc,21.62,Entertainment
strategize innovative info-mediaries,45.70,Transport
Ruiz Ltd,94.56,Groceries
envisioneer proactive interfaces,87.22,Healthcare
"Williams, Clark and Moses",38.89,Groceries
seize front-end architectures,19.27,Transport
Smith-Baker,80.30,Healthcare
extend extensible portals,75.08,Groceries
Gonzalez-Palmer,23.49,Dining Out
extend cross-media eyeballs,24.57,Groceries
Martin-Pierce,25.24,Transport
scale rich eyeballs,72.43,Transport
Morris-Watkins,59.58,Utilities
innovate proactive experiences,35.32,Dining Out
Torres LLC,70.50,Utilities
mesh visionary interfaces,26.05,Transport
"Long, Daniels and Alexander",84.30,Groceries
revolutionize visionary deliverables,29.84,Dining Out
Robinson and Sons,22.54,Dining Out
enable enterprise action-items,69.46,Healthcare
Tate-Terry,69.23,Dining Out
unleash world-class bandwidth,62.28,Utilities
Williams Group,49.25,Utilities
re-intermediate seamless channels,87.51,Utilities
"Murray, Roach and Parker",55.89,Entertainment
